Región;Especie;Centro;Barrio;Jaula;Cepa;Genetica;Piscucultura origen;Año cierre centro;Batch/Lote; Fecha inicio Siembra ; Fecha Fin ciclo ;Meses cultivo;Num siembra;Peso siembra;% Mortalidad;% Dif inventario;N° cosecha;Biom. Cosecha wfe;Peso Cosecha wfe;FCRb;FCRe;SGR;Productividad;Alimento consumido
XI;Salar;Dring 2;22a;101;Aquagen;IPN SRS;Sealand;2019;Batch 34;27-09-2017;22-02-2019;16,8;52.941;178;17%;1%;44.466;188.543;4,24;1,27;1,43;0,63;3,56;276.575
XI;Salar;Dring 2;22a;103;Aquagen;IPN SRS;Sealand;2019;Batch 34;27-09-2017;22-02-2019;16,8;52.941;163;12%;2%;47.779;219.601;4,60;1,26;1,38;0,67;4,15;314.117
XI;Salar;Dring 2;22a;105;Aquagen;IPN SRS;Sealand;2019;Batch 34;28-09-2017;21-01-2019;15,7;52.941;168;9%;1%;49.019;228.031;4,65;1,22;1,31;0,71;4,31;309.856
XI;Salar;Dring 2;22a;107;Aquagen;IPN SRS;Sealand;2019;Batch 34;30-09-2017;19-01-2019;15,6;52.941;171;7%;3%;50.697;232.807;4,59;1,20;1,27;0,71;4,40;306.569
XI;Salar;Dring 2;22a;102;Aquagen;IPN SRS;Sealand;2019;Batch 35;30-09-2017;24-02-2019;16,8;52.941;163;9%;1%;48.605;191.482;3,94;1,33;1,43;0,64;3,62;282.594
XI;Salar;Dring 2;22a;104;Aquagen;IPN SRS;Sealand;2019;Batch 35;30-09-2017;19-02-2019;16,6;52.941;163;8%;1%;49.345;227.200;4,60;1,28;1,38;0,68;4,29;324.656
XI;Salar;Dring 2;22a;106;Aquagen;IPN SRS;Sealand;2019;Batch 35;01-10-2017;25-01-2019;15,8;52.941;164;6%;8%;53.990;241.787;4,48;1,18;1,24;0,71;4,57;311.195
XI;Salar;Dring 2;22a;108;Aquagen;IPN SRS;Sealand;2019;Batch 35;02-10-2017;23-01-2019;15,7;52.941;164;7%;1%;50.070;228.494;4,56;1,24;1,32;0,71;4,32;311.776
XI;Salar;Dring 2;22a;109;Aquagen;IPN SRS;Sealand;2019;Batch 35;02-10-2017;11-02-2019;16,3;52.941;165;8%;5%;51.208;243.839;4,76;1,17;1,25;0,70;4,61;316.538
XI;Salar;Dring 2;22a;110;Aquagen;IPN SRS;Sealand;2019;Batch 35;09-10-2017;07-02-2019;15,9;52.941;163;8%;-3%;47.001;210.893;4,49;1,23;1,32;0,70;3,98;287.619
